ID,,,Categories,Name,Lat,Long,Score,Time_spend
1,1,ผลิตภัณฑ์,product,"เครื่องปั้นดินเผามอญ ""พันชนิล""",13.909204000,100.490731000,3.6,50
2,1,ผลิตภัณฑ์,product,เครื่องปั้นดินเผา,13.906254000,100.490030000,2.4,26
3,1,ผลิตภัณฑ์,product,พิมเสนน้ำ กลิ่นดอกไม้,13.907450000,100.490179000,5,35
4,1,ผลิตภัณฑ์,product,สมุนไพรบ้านคุณย่า,13.908441000,100.490609000,4.5,51
5,1,ผลิตภัณฑ์,product,เครื่องปั้นดินเผา,13.907492000,100.486881300,1.5,21
6,1,ผลิตภัณฑ์,product,ร้านป้าสุนีย์,13.907491800,100.480315200,2.5,28
7,1,ร้านค้า,shop,ร้านเครื่องปั้นดินเผา,13.908710000,100.490685000,3.3,42
8,1,ร้านค้า,shop,"ร้านนั่ง ""ร""",13.911189000,100.491022000,3.3,57
9,1,ร้านค้า,shop,ร้านมองละไม House,13.910644000,100.491092000,2.6,11
10,1,ร้านค้า,shop,ร้านบ้านขนมจีน,13.910212000,100.490833000,4.4,20
11,1,ร้านค้า,shop,ร้านคั่วมือ,13.909315000,100.490768000,3.2,12
12,1,ร้านค้า,shop,ร้านขนมกลีบลำดวน,13.909204000,100.490731000,2.7,11
13,1,ร้านค้า,shop,บ้านกาแฟบ้านเลขที่ 1,13.911556000,100.490605000,2.5,37
14,1,สถานที่สำคัญ,icon,วัดฉิมพลีสุทธาวาส,13.906254000,100.490030000,4.5,51
15,1,สถานที่สำคัญ,icon,ศาลเจ้าพ่อหนุ่มเกษแก้วชัยฤทธิ์,13.911189000,100.491022000,2,15
16,1,สถานที่สำคัญ,icon,บ้านศิลป์สยาม,13.910378000,100.490785000,4.3,42
17,1,สถานที่สำคัญ,icon,ศูนย์ประสานงานรักษาความปลอดภัยประจำท้องถิ่นตำบลเกาะเกร็ด(ศปถ.เกาะเกร็ด),13.906636000,100.490241000,2.3,44
18,1,สถานที่สำคัญ,icon,วัดป่าเลย์ไลก์,13.905078000,100.490044000,3.9,54
19,1,สถานที่สำคัญ,icon,ที่ทำการอาสาสมัครเกษตรหมู่บ้าน,13.901801900,100.479056800,1.2,42
20,1,สถานที่สำคัญ,icon,ท่าเรือป่าฝ้าย,13.905078000,100.490044000,1.2,24
21,1,ที่พัก,homestay,ชมฟ้าโฮมสเตย์,13.913066000,100.487390600,4.9,43
22,1,ที่พัก,homestay,โต๊งโฮมสเตย์,13.913066200,100.485201900,2.4,52
23,2,ผลิตภัณฑ์,product,วิสาหกิจชุมชนจักรสานเส้นพลาสติก,13.905192000,100.488291000,3.6,59
24,2,ผลิตภัณฑ์,product,สวนทุเรียนแม่จรูญ,13.904401000,100.489600000,3.2,36
25,2,ผลิตภัณฑ์,product,สวนทุเรียนกระท้อนประสิทธิ,13.904336000,100.486349000,1.6,12
26,2,ผลิตภัณฑ์,product,วิสาหกิจชุมชนแปรรูปสมุนไพรและเบเกอร์รี่,13.901742000,100.483850000,4.7,25
27,2,ผลิตภัณฑ์,product,บ้านลูกชุบ,13.902026000,100.483850000,3.5,35
28,2,ผลิตภัณฑ์,product,ผักไฮโดรโปรนิค,13.913066200,100.485201900,4.5,44
29,2,สถานที่สำคัญ,icon,หมู่บ้านศาลากุลนอก,13.906050000,100.486143000,1.6,19
30,2,สถานที่สำคัญ,icon,สวนเมล่อนเกาะเกร็ด,13.905826000,100.486829000,4,10
31,2,สถานที่สำคัญ,icon,สวนเกร็ดพุทธ,13.905826000,100.487480000,2.5,29
32,2,สถานที่สำคัญ,icon,มัสยิดเกาะเกร็ด,13.901847000,100.484519000,1.8,11
33,2,สถานที่สำคัญ,icon,ท่าเรือป่าฝ้าย,13.904696000,100.490141000,2,47
34,2,สถานที่สำคัญ,icon,ศาลเจ้าพ่อน้ำเดือด,13.904696000,100.490141000,4.7,31
35,2,สถานที่สำคัญ,icon,ศาลเจ้าพ่อปราสาททอง,13.904696000,100.490141000,2,54
36,2,สถานที่สำคัญ,icon,ศูนย์ราชางแดงมงคล,13.904696000,100.490141000,4.9,24
37,2,สถานที่สำคัญ,icon,สถานสงเคราะห์หญิงบ้านปากเกร็ด,13.904696000,100.490141000,2.6,37
